Place of living,capital,population
Sydney,True,4840600
Paris,True,2206488
Cucq,False,5123
La Calotterie,False,649
Singapore,False,5888926
Sologne,False,Not found
Valence,False,64450
Tel Aviv,False,438800
Madrid,True,3182981
London,True,8787892
Istanbul,False,14657434
Strasbourg,True,277270
Buenos Aires,True,2890151
Chantilly,False,10849
Córdoba,False,1403000
San Martín,False,28339
Mendoza,False,110993
Salta,False,536000
Tilcara,False,5640
Tarija,False,135783
Glasgow,False,598830
Santa Cruz,False,1756926
Uyuni,False,10585
La Paz,True,757184
Isla del Sol,False,1984
Tehran,True,8846782
Lima,True,8574974
Cusco,False,435114
Rio de Janeiro,False,6093472
Paredes,False,85428
Salvador,False,2902927
Palmeiras,City not found,City not found
Jericocoara,City not found,City not found
Quindio,City not found,City not found
Salento,False,2046
Minca,City not found,City not found
Bogotá,True,8181047
Santa Marta,False,507324
Ubaté,False,32781
Dallas,False,1197816
Forth Worth,City not found,City not found
New Orleans,False,384320
Detroit,False,680250
Violet,City not found,City not found
New York City,False,8537673
Dearborn,False,98153
Ferndale,False,Not found
Moscow,False,12500123
Tbilisi,True,1082400
Irkutsk,False,623736
Olkhon Island,False,1500
Soft Gobi,City not found,City not found
Middle Gobi,City not found,City not found
Seoul,True,9857426
Ulaanbaatar,True,1396288
Taipei,True,2689845
Yangon,False,5430000
Ayervatty Division,City not found,City not found
Mandalay,False,1726889
Countryside,City not found,City not found
New Delhi,True,257803
Gurgaon,False,876824
Nimmu,City not found,City not found
Los Angeles,False,3976322
Kolkata,False,4496694
Bangalore,True,10535000
Kathmandu,True,975453
Chaughada,False,5480
Shiraz,False,1565572
Munich,False,1464301
Addis Ababa,True,3385000
Isfahan,False,1756126
Bulawayo,False,653337
Menagesha,City not found,City not found
Dorze,False,Not found
Troyes,False,60928
Marly-le-Roi,False,16431
Louveciennes,False,7143
